Date,Close/Last
2020-02-03,174.38
2020-02-04,180.12
2020-02-05,179.9
2020-02-06,183.63
2020-02-07,183.89
2020-02-10,188.7
2020-02-11,184.44
2020-02-12,184.71
2020-02-13,183.71
2020-02-14,185.35
2020-02-18,187.23
2020-02-19,187.28
2020-02-20,184.42
2020-02-21,178.59
2020-02-24,170.89
2020-02-25,168.07
2020-02-26,170.17
2020-02-27,158.18
2020-02-28,162.01
2020-03-02,172.79
2020-03-03,164.51
2020-03-04,170.55
2020-03-05,166.27
2020-03-06,161.57
2020-03-09,150.62
2020-03-10,160.92
2020-03-11,153.63
2020-03-12,139.06
2020-03-13,158.83
2020-03-16,135.42
2020-03-17,146.57
2020-03-18,140.4
2020-03-19,142.71
2020-03-20,137.35
2020-03-23,135.98
2020-03-24,148.34
2020-03-25,146.92
2020-03-26,156.11
2020-03-27,149.7
2020-03-30,160.23
2020-03-31,157.71
2020-04-01,152.11
2020-04-02,155.26
2020-04-03,153.83
